,country,week,NO2,PM2.5,Date of Restrictions,Level,Week of Restrictions,Restrictions,Restriction Week Counter
0,Argentina,1,9.85,79.01388889,3/21/20,National,12,No,
1,Argentina,2,8.432539683,65.11904762,3/21/20,National,12,No,
2,Argentina,3,6.671428571,27.41666667,3/21/20,National,12,No,
3,Argentina,4,6.5,23.75,3/21/20,National,12,No,
4,Argentina,5,5.178571429,26.08333333,3/21/20,National,12,No,
5,Argentina,6,4.82202381,18.85714286,3/21/20,National,12,No,
6,Argentina,7,6.69047619,21.45833333,3/21/20,National,12,No,
7,Argentina,8,6.05952381,26.60714286,3/21/20,National,12,No,
8,Argentina,9,5.69047619,37.39484127,3/21/20,National,12,No,
9,Argentina,10,4.416666667,36.09126984,3/21/20,National,12,No,
10,Argentina,11,6.357142857,38.45238095,3/21/20,National,12,No,
11,Argentina,12,4.5,29.23809524,3/21/20,National,12,Yes,1
12,Argentina,13,3.0555555560000003,30.3,3/21/20,National,12,Yes,2
13,Australia,1,4.0255555560000005,46.15,3/23/20,National,13,No,
14,Australia,2,5.560952381,49.29801587,3/23/20,National,13,No,
15,Australia,3,6.052380952,44.28603175,3/23/20,National,13,No,
16,Australia,4,5.951428571,27.44285714,3/23/20,National,13,No,
17,Australia,5,6.247142857,26.20238095,3/23/20,National,13,No,
18,Australia,6,5.473809524,30.47857143,3/23/20,National,13,No,
19,Australia,7,5.194444444,23.28015873,3/23/20,National,13,No,
20,Australia,8,5.395238095,22.9452381,3/23/20,National,13,No,
21,Australia,9,6.561587302,20.90595238,3/23/20,National,13,No,
22,Australia,10,5.666666667,23.96428571,3/23/20,National,13,No,
23,Australia,11,5.897619047999999,21.40238095,3/23/20,National,13,No,
24,Australia,12,5.985714286,21.27261905,3/23/20,National,13,No,
25,Australia,13,5.237777778,24.56333333,3/23/20,National,13,Yes,1
26,Bolivia,1,8.6,24.91666667,3/22/20,National,13,No,
27,Bolivia,2,7.928571429,26.95714286,3/22/20,National,13,No,
28,Bolivia,3,9.585714286,29.82142857,3/22/20,National,13,No,
29,Bolivia,4,10.60714286,30.07380952,3/22/20,National,13,No,
30,Bolivia,5,7.828571429,30.24404762,3/22/20,National,13,No,
31,Bolivia,6,9.410714286000001,33.12202381,3/22/20,National,13,No,
32,Bolivia,7,11.35714286,37.25595238,3/22/20,National,13,No,
33,Bolivia,8,7.5,38.88988095,3/22/20,National,13,No,
34,Bolivia,9,9.785714286000001,32.49404762,3/22/20,National,13,No,
35,Bolivia,10,6.535714286,37.22619048,3/22/20,National,13,No,
36,Bolivia,11,4.321428571,34.50595238,3/22/20,National,13,No,
37,Bolivia,12,6.214285714,40.68452381,3/22/20,National,13,No,
38,Bolivia,13,5.0,32.45,3/22/20,National,13,Yes,1
39,Brazil,1,11.6875,50.5625,3/17/20,State,12,No,
40,Brazil,2,17.01785714,60.07142857,3/17/20,State,12,No,
41,Brazil,3,14.10119048,58.38690476,3/17/20,State,12,No,
42,Brazil,4,14.98809524,51.375,3/17/20,State,12,No,
43,Brazil,5,15.71428571,53.98214286,3/17/20,State,12,No,
44,Brazil,6,13.875,47.69642857,3/17/20,State,12,No,
45,Brazil,7,14.73928571,52.095238099999996,3/17/20,State,12,No,
46,Brazil,8,12.85714286,58.33333333,3/17/20,State,12,No,
47,Brazil,9,12.07142857,49.09821429,3/17/20,State,12,No,
48,Brazil,10,11.30357143,48.80357143,3/17/20,State,12,No,
49,Brazil,11,11.71428571,60.0,3/17/20,State,12,No,
50,Brazil,12,10.42261905,49.18452381,3/17/20,State,12,Yes,1
51,Brazil,13,16.0,40.4,3/17/20,State,12,Yes,2
52,Canada,1,9.954166667,22.19270833,3/25/20,National,13,No,
53,Canada,2,12.08630952,27.02678571,3/25/20,National,13,No,
54,Canada,3,12.5297619,30.98214286,3/25/20,National,13,No,
55,Canada,4,17.32142857,33.095238099999996,3/25/20,National,13,No,
56,Canada,5,14.63690476,26.53571429,3/25/20,National,13,No,
57,Canada,6,11.86011905,25.07440476,3/25/20,National,13,No,
58,Canada,7,11.71428571,35.88988095,3/25/20,National,13,No,
59,Canada,8,11.98214286,30.91071429,3/25/20,National,13,No,
60,Canada,9,10.61309524,29.4047619,3/25/20,National,13,No,
61,Canada,10,9.133928571,25.36309524,3/25/20,National,13,No,
62,Canada,11,8.383928571,26.73809524,3/25/20,National,13,No,
63,Canada,12,9.761904762,30.79166667,3/25/20,National,13,No,
64,Canada,13,8.7125,30.01666667,3/25/20,National,13,Yes,1
65,Chile,1,12.0,61.0,3/19/20,National,12,No,
66,Chile,2,18.38095238,73.71428571,3/19/20,National,12,No,
67,Chile,3,16.57142857,75.48412698,3/19/20,National,12,No,
68,Chile,4,11.14285714,75.39682540000001,3/19/20,National,12,No,
69,Chile,5,10.78571429,61.85714286,3/19/20,National,12,No,
70,Chile,6,13.71428571,70.19047619,3/19/20,National,12,No,
71,Chile,7,16.82857143,89.77777778,3/19/20,National,12,No,
72,Chile,8,18.14285714,82.02380952,3/19/20,National,12,No,
73,Chile,9,15.76190476,82.71428571,3/19/20,National,12,No,
74,Chile,10,17.66666667,95.95238095,3/19/20,National,12,No,
75,Chile,11,19.72380952,94.52380952,3/19/20,National,12,No,
76,Chile,12,16.85714286,93.41269841,3/19/20,National,12,Yes,1
77,Chile,13,13.4,85.8,3/19/20,National,12,Yes,2
78,China,1,29.47166667,143.9888889,1/23/20,City,4,No,
79,China,2,21.42,105.4031746,1/23/20,City,4,No,
80,China,3,22.89047619,150.71428569999998,1/23/20,City,4,No,
81,China,4,17.13809524,137.9952381,1/23/20,City,4,Yes,1
82,China,5,12.94444444,147.0,1/23/20,City,4,Yes,2
83,China,6,11.77619048,105.2,1/23/20,City,4,Yes,3
84,China,7,13.86190476,135.1952381,1/23/20,City,4,Yes,4
